publishTime,bidUrl,purchaser,link,bidAmount,title,type,uuid,content,bidList,proxy,bidWinner,companies,abs,province,stage,intro,id
1782662400000,https://m.tianyancha.com/app/h5/bid/0c1e574dbc914e5c9dbee4d807b2695f?code=cd65&icode=4b94ffc2d5ad96e64dfc41c6458fc0da,民生理财有限责任公司,http://www.cfcpn.com/jcw/sys/index/goUrl?url=modules/sys/login/detail&column=undefined&searchVal=e131db9415a94b77a0669daef323ca7,,民生理财资金清算系统垫资服务及数据报表升级项目中选候选人和中选人公示,中标结果,0c1e574dbc914e5c9dbee4d807b2695f,"<div><p class=""MsoNormal"" align=""center"" style=""text-align:center;line-height:150%;mso-pagination:widow-orphan""><p name=""OLE_LINK11""></p><p name=""OLE_LINK9""></p><p name=""_Hlk231995563""><b><span style=""mso-bidi-font-size:10.5pt;line-height:150%;font-family:宋体;mso-bidi-font-family:宋体;mso-font-kerning:0pt"">民生理财资金清算系统垫资服务及数据报表升级项目</span></b></p><b><span lang=""EN-US"" style=""mso-bidi-font-size:10.5pt;line-height:150%;font-family:宋体;mso-bidi-font-family:宋体;mso-font-kerning:0pt""><o:p></o:p></span></b></p><p class=""MsoNormal"" align=""center"" style=""text-align:center;line-height:150%;mso-pagination:widow-orphan""><b><span style=""mso-bidi-font-size:10.5pt;line-height:150%;font-family:宋体;mso-bidi-font-family:宋体;mso-font-kerning:0pt"">中选候选人和中选人公示</span></b><b><span lang=""EN-US"" style=""mso-bidi-font-size:10.5pt;line-height:150%;font-family:宋体;mso-bidi-font-family:宋体;mso-font-kerning:0pt""><o:p></o:p></span></b></p><p class=""MsoNormal"" align=""left"" style=""line-height: 150%;""><p name=""_Hlk30519433""><b><span lang=""EN-US"" style=""mso-bidi-font-size:10.5pt;line-height:150%;font-family:宋体;mso-bidi-font-family:宋体;mso-font-kerning:0pt""> </span></b></p></p><p class=""MsoNormal"" align=""left"" style=""line-height: 150%;""><p name=""OLE_LINK12""></p><p name=""OLE_LINK8""><b><span style=""mso-bidi-font-size:10.5pt;line-height:150%;font-family:宋体;mso-bidi-font-family:宋体;mso-font-kerning:0pt"">公示日期：<span lang=""EN-US"">2026</span>年<span lang=""EN-US"">6</span>月<span lang=""EN-US"">29</span>日<span lang=""EN-US"">-2026</span>年<span lang=""EN-US"">7</span>月<span lang=""EN-US"">2</span>日<span lang=""EN-US""><o:p></o:p></span></span></b></p></p><p class=""MsoNormal"" align=""left"" style=""line-height: 150%;""><b><span style=""line-height: 150%; font-family: 宋体; background-image: initial; background-position: initial; background-size: initial; background-repeat: initial; background-attachment: initial; background-origin: initial; background-clip: initial;"">一、项目情况</span></b><span lang=""EN-US"" style=""mso-bidi-font-size:10.5pt;line-height:150%;font-family:宋体;mso-bidi-font-family:宋体;mso-font-kerning:0pt""><o:p></o:p></span></p><p class=""MsoNormal"" align=""left"" style=""line-height: 150%;""><span style=""line-height: 150%; font-family: 宋体; background-image: initial; background-position: initial; background-size: initial; background-repeat: initial; background-attachment: initial; background-origin: initial; background-clip: initial;"">项目名称：民生理财资金清算系统垫资服务及数据报表升级项目</span><span lang=""EN-US"" style=""line-height: 150%; font-family: 宋体; background-image: initial; background-position: initial; background-size: initial; background-repeat: initial; background-attachment: initial; background-origin: initial; background-clip: initial;""><o:p></o:p></span></p><p class=""MsoNormal"" align=""left"" style=""line-height: 150%;""><span style=""line-height: 150%; font-family: 宋体; background-image: initial; background-position: initial; background-size: initial; background-repeat: initial; background-attachment: initial; background-origin: initial; background-clip: initial;"">项目编号：<p name=""OLE_LINK3""><span lang=""EN-US"">TC260V09R</span></p></span><span lang=""EN-US"" style=""line-height: 150%; font-family: 宋体; background-image: initial; background-position: initial; background-size: initial; background-repeat: initial; background-attachment: initial; background-origin: initial; background-clip: initial;""><o:p></o:p></span></p><p class=""MsoNormal"" align=""left"" style=""line-height: 150%;""><span style=""line-height: 150%; font-family: 宋体; background-image: initial; background-position: initial; background-size: initial; background-repeat: initial; background-attachment: initial; background-origin: initial; background-clip: initial;"">征询人：民生理财有限责任公司</span><span lang=""EN-US"" style=""line-height: 150%; font-family: 宋体; background-image: initial; background-position: initial; background-size: initial; background-repeat: initial; background-attachment: initial; background-origin: initial; background-clip: initial;""><o:p></o:p></span></p><p class=""MsoNormal"" align=""left"" style=""line-height: 150%;""><span style=""line-height: 150%; font-family: 宋体; background-image: initial; background-position: initial; background-size: initial; background-repeat: initial; background-attachment: initial; background-origin: initial; background-clip: initial;"">征询代理机构：中招国际招标有限公司</span><span lang=""EN-US"" style=""line-height: 150%; font-family: 宋体; background-image: initial; background-position: initial; background-size: initial; background-repeat: initial; background-attachment: initial; background-origin: initial; background-clip: initial;""><o:p></o:p></span></p><p class=""MsoNormal"" align=""left"" style=""line-height: 150%;""><span style=""line-height: 150%; font-family: 宋体; background-image: initial; background-position: initial; background-size: initial; background-repeat: initial; background-attachment: initial; background-origin: initial; background-clip: initial;"">征询公告日期：<span lang=""EN-US"">2026</span>年<span lang=""EN-US"">6</span>月<span lang=""EN-US"">1</span>日</span><span lang=""EN-US"" style=""line-height: 150%; font-family: 宋体; background-image: initial; background-position: initial; background-size: initial; background-repeat: initial; background-attachment: initial; background-origin: initial; background-clip: initial;""><o:p></o:p></span></p><p class=""MsoNormal"" align=""left"" style=""line-height: 150%;""><b><span style=""line-height: 150%; font-family: 宋体; background-image: initial; background-position: initial; background-size: initial; background-repeat: initial; background-attachment: initial; background-origin: initial; background-clip: initial;"">二、中选信息</span></b><span lang=""EN-US"" style=""mso-bidi-font-size:10.5pt;line-height:150%;font-family:宋体;mso-bidi-font-family:宋体;mso-font-kerning:0pt""><o:p></o:p></span></p><p class=""MsoNormal"" align=""left"" style=""line-height: 150%;""><span style=""line-height: 150%; font-family: 宋体; background-image: initial; background-position: initial; background-size: initial; background-repeat: initial; background-attachment: initial; background-origin: initial; background-clip: initial;"">本项目按照综合评分法。</span><span lang=""EN-US"" style=""line-height: 150%; font-family: 宋体; background-image: initial; background-position: initial; background-size: initial; background-repeat: initial; background-attachment: initial; background-origin: initial; background-clip: initial;""><o:p></o:p></span></p><p class=""MsoNormal"" align=""left"" style=""line-height: 150%;""><span style=""line-height: 150%; font-family: 宋体; background-image: initial; background-position: initial; background-size: initial; background-repeat: initial; background-attachment: initial; background-origin: initial; background-clip: initial;"">中选内容：<p name=""OLE_LINK2""></p><p name=""OLE_LINK1""> 民生理财资金清算系统垫资服务及数据报表升级</p></span><span lang=""EN-US"" style=""line-height: 150%; font-family: 宋体; background-image: initial; background-position: initial; background-size: initial; background-repeat: initial; background-attachment: initial; background-origin: initial; background-clip: initial;""><o:p></o:p></span></p><div align=""center""><table class=""MsoNormalTable"" border=""0"" cellspacing=""0"" cellpadding=""0"" width=""605"" style=""width: 453.65pt;""> <tbody><tr style=""mso-yfti-irow:0;mso-yfti-firstrow:yes;height:26.65pt"">  <td width=""148"" style=""width:111.35pt;padding:0cm 5.4pt 0cm 5.4pt;height:26.65pt"">  <p class=""MsoNormal"" align=""right"" style=""text-align:right;line-height:150%""><span style=""line-height: 150%; font-family: 宋体; color: black; background-image: initial; background-position: initial; background-size: initial; background-repeat: initial; background-attachment: initial; background-origin: initial; background-clip: initial;"">第<span lang=""EN-US"">1</span>中选侯选人：</span><span lang=""EN-US"" style=""mso-bidi-font-size:  10.5pt;line-height:150%;font-family:宋体;mso-bidi-font-family:宋体;background:  yellow;mso-highlight:yellow;mso-shading:white;mso-font-kerning:0pt""><o:p></o:p></span></p>  </td>    <td width=""456"" style=""width:342.3pt;padding:0cm 5.4pt 0cm 5.4pt;height:26.65pt"">  <p class=""MsoNormal"" align=""left""><span style=""font-family: 宋体; color: black; background-image: initial; background-position: initial; background-size: initial; background-repeat: initial; background-attachment: initial; background-origin: initial; background-clip: initial;"">深圳市赢时胜信息技术股份有限公司</span><span lang=""EN-US"" style=""font-family: 宋体; background-image: initial; background-position: initial; background-size: initial; background-repeat: initial; background-attachment: initial; background-origin: initial; background-clip: initial;""><o:p></o:p></span></p>  </td>   </tr> <tr style=""mso-yfti-irow:1;mso-yfti-lastrow:yes;height:26.65pt"">  <td width=""148"" style=""width:111.35pt;padding:0cm 5.4pt 0cm 5.4pt;height:26.65pt"">  <p class=""MsoNormal"" align=""right"" style=""text-align:right;line-height:150%""><span style=""line-height: 150%; font-family: 宋体; color: black; background-image: initial; background-position: initial; background-size: initial; background-repeat: initial; background-attachment: initial; background-origin: initial; background-clip: initial;"">第<span lang=""EN-US"">2</span>中选候选人：</span><span lang=""EN-US"" style=""mso-bidi-font-size:  10.5pt;line-height:150%;font-family:宋体;mso-bidi-font-family:宋体;background:  yellow;mso-highlight:yellow;mso-shading:white;mso-font-kerning:0pt""><o:p></o:p></span></p>  </td>    <td width=""456"" style=""width:342.3pt;padding:0cm 5.4pt 0cm 5.4pt;height:26.65pt"">  <p class=""MsoNormal"" align=""left""><span style=""font-family: 宋体; color: black; background-image: initial; background-position: initial; background-size: initial; background-repeat: initial; background-attachment: initial; background-origin: initial; background-clip: initial;"">安徽兆尹信息科技股份有限公司</span><span lang=""EN-US"" style=""font-family: 宋体; background-image: initial; background-position: initial; background-size: initial; background-repeat: initial; background-attachment: initial; background-origin: initial; background-clip: initial;""><o:p></o:p></span></p>  </td>   </tr></tbody></table></div><p class=""MsoNormal"" style=""line-height:150%;tab-stops:3.0cm 5.0cm""><span style=""line-height: 150%; font-family: 宋体; background-image: initial; background-position: initial; background-size: initial; background-repeat: initial; background-attachment: initial; background-origin: initial; background-clip: initial;"">注：如公示无异议，公示期满后，征询人将确定以上第<span lang=""EN-US"">1</span>中选候选人为中选人。</span><span lang=""EN-US"" style=""mso-bidi-font-size:10.5pt;line-height:150%;font-family:宋体;mso-fareast-theme-font:minor-fareast""><o:p></o:p></span></p><p class=""MsoNormal"" align=""left"" style=""line-height: 150%;""><b><span style=""line-height: 150%; font-family: 宋体; background-image: initial; background-position: initial; background-size: initial; background-repeat: initial; background-attachment: initial; background-origin: initial; background-clip: initial;"">三、监督部门</span></b><b><span lang=""EN-US"" style=""line-height: 150%; font-family: 宋体; background-image: initial; background-position: initial; background-size: initial; background-repeat: initial; background-attachment: initial; background-origin: initial; background-clip: initial;""><o:p></o:p></span></b></p><p class=""MsoNormal"" align=""left"" style=""line-height: 150%;""><span style=""line-height: 150%; font-family: 宋体; background-image: initial; background-position: initial; background-size: initial; background-repeat: initial; background-attachment: initial; background-origin: initial; background-clip: initial;"">本征询项目的监督部门为民生理财有限责任公司</span><span lang=""EN-US"" style=""line-height: 150%; font-family: 宋体; background-image: initial; background-position: initial; background-size: initial; background-repeat: initial; background-attachment: initial; background-origin: initial; background-clip: initial;""><o:p></o:p></span></p><p class=""MsoNormal"" align=""left"" style=""line-height: 150%;""><b><span style=""line-height: 150%; font-family: 宋体; background-image: initial; background-position: initial; background-size: initial; background-repeat: initial; background-attachment: initial; background-origin: initial; background-clip: initial;"">四、联系方式</span></b><b><span lang=""EN-US"" style=""line-height: 150%; font-family: 宋体; background-image: initial; background-position: initial; background-size: initial; background-repeat: initial; background-attachment: initial; background-origin: initial; background-clip: initial;""><o:p></o:p></span></b></p><p class=""MsoNormal"" align=""left"" style=""line-height: 150%;""><span style=""line-height: 150%; font-family: 宋体; background-image: initial; background-position: initial; background-size: initial; background-repeat: initial; background-attachment: initial; background-origin: initial; background-clip: initial;"">征询代理机构名称：</span><span style=""mso-bidi-font-size:10.5pt;line-height:150%;font-family:宋体;mso-ascii-font-family:Calibri;mso-ascii-theme-font:minor-latin;mso-fareast-theme-font:minor-fareast;mso-hansi-font-family:Calibri;mso-hansi-theme-font:minor-latin"">中招国际招标有限公司</span><span lang=""EN-US"" style=""line-height: 150%; font-family: 宋体; background-image: initial; background-position: initial; background-size: initial; background-repeat: initial; background-attachment: initial; background-origin: initial; background-clip: initial;""><o:p></o:p></span></p><p class=""MsoNormal"" align=""left"" style=""line-height: 150%;""><span style=""line-height: 150%; font-family: 宋体; background-image: initial; background-position: initial; background-size: initial; background-repeat: initial; background-attachment: initial; background-origin: initial; background-clip: initial;"">地<span lang=""EN-US"">    </span>址：北京市海淀区学院南路<span lang=""EN-US"">62</span>号中关村资本大厦六层。</span><span lang=""EN-US"" style=""line-height: 150%; font-family: 宋体; background-image: initial; background-position: initial; background-size: initial; background-repeat: initial; background-attachment: initial; background-origin: initial; background-clip: initial;""><o:p></o:p></span></p><p class=""MsoNormal"" align=""left"" style=""line-height: 150%;""><span style=""line-height: 150%; font-family: 宋体; background-image: initial; background-position: initial; background-size: initial; background-repeat: initial; background-attachment: initial; background-origin: initial; background-clip: initial;"">联系 人</span><span style=""mso-bidi-font-size:10.5pt;line-height:150%;font-family:宋体;mso-ascii-font-family:Calibri;mso-ascii-theme-font:minor-latin;mso-fareast-theme-font:minor-fareast;mso-hansi-font-family:Calibri;mso-hansi-theme-font:minor-latin"">：张文浩、曹武宁、王昀炜、梅建伟、卢燕</span><span lang=""EN-US"" style=""mso-bidi-font-size:10.5pt;line-height:150%""><o:p></o:p></span></p><p class=""MsoNormal"" align=""left"" style=""line-height: 150%;""><span style=""line-height: 150%; font-family: 宋体; background-image: initial; background-position: initial; background-size: initial; background-repeat: initial; background-attachment: initial; background-origin: initial; background-clip: initial;"">电<span lang=""EN-US"">    </span>话：<span lang=""EN-US"">010-62108074</span></span><span lang=""EN-US"" style=""line-height: 150%; font-family: 宋体; background-image: initial; background-position: initial; background-size: initial; background-repeat: initial; background-attachment: initial; background-origin: initial; background-clip: initial;""><o:p></o:p></span></p><p class=""MsoNormal"" align=""left"" style=""line-height: 150%;""><span style=""mso-bidi-font-size:10.5pt;line-height:150%;font-family:宋体;mso-ascii-font-family:Calibri;mso-ascii-theme-font:minor-latin;mso-fareast-theme-font:minor-fareast;mso-hansi-font-family:Calibri;mso-hansi-theme-font:minor-latin"">传</span><span lang=""EN-US"" style=""mso-bidi-font-size:10.5pt;line-height:150%"">    </span><span style=""mso-bidi-font-size:10.5pt;line-height:150%;font-family:宋体;mso-ascii-font-family:Calibri;mso-ascii-theme-font:minor-latin;mso-fareast-theme-font:minor-fareast;mso-hansi-font-family:Calibri;mso-hansi-theme-font:minor-latin"">真：</span><span lang=""EN-US"" style=""mso-bidi-font-size:10.5pt;line-height:150%"">010-62108074<o:p></o:p></span></p><p class=""MsoNormal"" align=""left"" style=""line-height: 150%;""><span style=""mso-bidi-font-size:10.5pt;line-height:150%;font-family:宋体;mso-ascii-font-family:Calibri;mso-ascii-theme-font:minor-latin;mso-fareast-theme-font:minor-fareast;mso-hansi-font-family:Calibri;mso-hansi-theme-font:minor-latin"">电子函件：</span><span lang=""EN-US"" style=""mso-bidi-font-size:10.5pt;line-height:150%"">zhangwenhao@cntcitc.com.cn<o:p></o:p></span></p><p class=""MsoNormal"" style=""line-height:150%""><span style=""line-height: 150%; font-family: 宋体; background-image: initial; background-position: initial; background-size: initial; background-repeat: initial; background-attachment: initial; background-origin: initial; background-clip: initial;"">中招国际招标有限公司</span><span lang=""EN-US"" style=""line-height: 150%; font-family: 宋体; background-image: initial; background-position: initial; background-size: initial; background-repeat: initial; background-attachment: initial; background-origin: initial; background-clip: initial;""><o:p></o:p></span></p><p class=""MsoNormal"" style=""line-height:150%""><span lang=""EN-US"" style=""mso-bidi-font-size:10.5pt;line-height:150%;font-family:"" times new roman mso-bidi-theme-font:minor-bidi>2026</span><span style=""mso-bidi-font-size:10.5pt;line-height:150%;font-family:宋体;mso-ascii-font-family:"" times new roman mso-fareast-theme-font:minor-fareast>年</span><span lang=""EN-US"" style=""mso-bidi-font-size:10.5pt;line-height:150%;font-family:"" times new roman minor-bidi>6</span><span style=""mso-bidi-font-size:10.5pt;line-height:150%;font-family:宋体;mso-ascii-font-family:"" times new roman>月</span><span lang=""EN-US"" style=""mso-bidi-font-size:10.5pt;line-height:150%;font-family:"" times new roman mso-bidi-theme-font:minor-bidi>29</span><span style=""mso-bidi-font-size:10.5pt;line-height:150%;font-family:宋体;mso-ascii-font-family:"" times new roman mso-fareast-theme-font:minor-fareast>日</span><span lang=""EN-US"" style=""mso-bidi-font-size:10.5pt;line-height:150%;font-family:"" times new roman minor-bidi><o:p></o:p></span></p></div>",,[[]],深圳市赢时胜信息技术股份有限公司,"[{""cgid"": 5577649820, ""cname"": ""民生理财有限责任公司""}, {""cgid"": 499224486, ""cname"": ""安徽兆尹信息科技股份有限公司""}, {""cgid"": 26254735, ""cname"": ""中招国际招标有限公司""}, {""cgid"": 865182403, ""cname"": ""深圳市赢时胜信息技术股份有限公司""}]",,北京市,中标,,306046531
1782662400000,https://m.tianyancha.com/app/h5/bid/0d65445f35ce49ecb6fdefa71c6217ad?code=da8a&icode=a6acff961d8cb344ef871cb7512b40ce,光大理财有限责任公司,https://ctbpsp.com/#/bulletinDetail?uuid=aaca01b3-920c-4d7d-b426-5b8e4061f693&cid=14,149000.00,光大理财有限责任公司电子签章系统多系统对接与支持OFD签章项目（四次招标）成交公告,中标结果,0d65445f35ce49ecb6fdefa71c6217ad,"<div><div>   点击查看公告内容：   <a filelink=""cbce4cafca3bf5d5c8294eece1595cf9"" href=""https://bigdata.cebpubservice.com/project/2026-06/winBidNoticeFile/Z3702002895002440001/b4a18396923f42dbb402ff027814a571.pdf?cli_id=14"" rel=""noreferrer"">光大理财有限责任公司电子签章系统多系统对接与支持OFD签章项目（四次招标）成交公告.pdf</a></div></div><div class=""richTextFetch"" style=""display:none;""><div filemd5=""cbce4cafca3bf5d5c8294eece1595cf9""><div>光大理财有限责任公司电子签章系统多系统对接与支持OFD签章项目（四次招</div><div>标）成交公告</div><div>（招标编号：QDHX-QY2026105）</div><div>一、中标人信息：</div><div>标段(包)[001]光大理财有限责任公司电子签章系统多系统对接与支持OFD签章项目（四</div><table border=""1""><tr><td colspan=""1"" rowspan=""1"">次招标）:</td><td colspan=""1"" rowspan=""1""></td><td colspan=""1"" rowspan=""1""></td><td colspan=""1"" rowspan=""1""></td></tr><tr><td colspan=""1"" rowspan=""1"">中标人：</td><td colspan=""1"" rowspan=""1"">青岛微数互联信息科技有限公司</td><td colspan=""1"" rowspan=""1"">中标价格：</td><td colspan=""1"" rowspan=""1"">14.9万元</td></tr><tr><td colspan=""1"" rowspan=""1"">二、其他：</td><td colspan=""1"" rowspan=""1""></td><td colspan=""1"" rowspan=""1""></td><td colspan=""1"" rowspan=""1""></td></tr></table><div>青岛鸿翔招标有限公司受光大理财有限责任公司的委托，对光大理财有限责任公司电子</div><div>签章系统多系统对接与支持OFD签章项目（四次招标）以单一来源的方式组织采购。现就本</div><div>次采购的成交结果公告如下：</div><div>一、采购人名称：光大理财有限责任公司</div><div>二、采购项目名称：光大理财有限责任公司电子签章系统多系统对接与支持OFD签章项目（四</div><div>次招标）</div><div>三、采购项目编号：QDHX-QY2026105</div><div>四、采购项目内容：为响应公司OA系统信创国产化改造要求，需对我司现有电子签章系统</div><div>进行功能升级。本项目旨在引入一套专业的OFD文件生成模块，并由中标方负责完成其与现</div><div>有电子签章系统的无缝集成。</div><div>五、采购公告发布日期及媒体：</div><div>2026年6月4日在中国招标投标公共服务平台和中国采购与招标网上发布了单一来源公示。</div><div>六、评审信息</div><div>1.开标时间：2026年6月16日09时00分</div><div>2.开标地点：青岛市崂山区香港东路195号4号楼19层会议室</div><div>3.谈判小组成员：姜炜、顾海明、宁勇铭</div><div>七、成交信息</div><div>成交人：青岛微数互联信息科技有限公司</div><div>成交金额：14.9万元</div><div>八、联系事项：</div><div>采购代理机构联系人：陈倩王雪梅庞海涛联系电话：0532-66015830</div><div>青岛鸿翔招标有限公司</div><div>2026年6月29日</div><div>三、监督部门</div><div>本招标项目的监督部门为光大理财有限责任公司。</div><div>四、联系方式</div><div>招标人：光大理财有限责任公司</div><div>地址：/</div><div>联系人：/</div><div>电话：/</div><div>电子邮件：/</div><div>招标代理机构：青岛鸿翔招标有限公司</div><div>地址：青岛市敦化路328号诺德广场2号楼2705室</div><div>联系人：陈倩</div><div>电话：66015830</div><div>电子邮件：hongxiangzhaobiao@126.com</div><div>招标人或其招标代理机构主要负责人（项目负责人）：（签名）</div><div>招标人或其招标代理机构：（盖章）</div></div></div>","[{""bidWinner"": ""青岛微数互联信息科技有限公司"", ""bidAmount"": ""149000.00""}]",[[]],青岛微数互联信息科技有限公司,"[{""cgid"": 3393792385, ""cname"": ""青岛微数互联信息科技有限公司""}, {""cgid"": 2337177492, ""cname"": ""青岛鸿翔招标有限公司""}, {""cgid"": 3373914295, ""cname"": ""光大理财有限责任公司""}]",,山东省,中标,,305996201
1782748800000,https://m.tianyancha.com/app/h5/bid/19ab2870882d44a1b3e43a68b39fff80?code=6b44&icode=9ada7df514c4b1491947fd5873179343,光大理财有限责任公司,https://ctbpsp.com/#/bulletinDetail?uuid=0a9f89cf86f940b58f0b7b16109d6c6c&inpvalue=&dataSource=0&tenderAgency=,,光大理财有限责任公司另类投资管理系统2026年升级项目中标结果公告,中标结果,19ab2870882d44a1b3e43a68b39fff80,bid-v3-content/5cd064e05fea525fc476631f11d3e038/files/d7fc2fdfd9a448df2f129449330aa6c9.pdf,,[[]],,"[{""cgid"": 3373914295, ""cname"": ""光大理财有限责任公司""}]",,,中标,,306073593
1782748800000,https://m.tianyancha.com/app/h5/bid/1d015e95465e465988091bbaf9cacbcd?code=a0cb&icode=524a9c06f4ddf3b5b3b39acf9cdd8bf5,光大理财有限责任公司,https://ctbpsp.com/#/bulletinDetail?uuid=f74bb6b5-c137-41b0-bea1-e97e693e36b2&cid=14,1818000.00,光大理财有限责任公司统一TA系统信创技术改造项目（四次招标）中标公告,中标结果,1d015e95465e465988091bbaf9cacbcd,"<div><div>   点击查看公告内容：   <a filelink=""c438ddf9bd2389903545136e2c04d644"" href=""https://bigdata.cebpubservice.com/project/2026-06/winBidNoticeFile/Z3702002895002430001/4da55b744e314617aaada1a536b4dae5.pdf?cli_id=14"" rel=""noreferrer"">光大理财有限责任公司统一TA系统信创技术改造项目（四次招标）中标公告.pdf</a></div></div><div class=""richTextFetch"" style=""display:none;""><div filemd5=""c438ddf9bd2389903545136e2c04d644""><div>光大理财有限责任公司统一TA系统信创技术改造项目（四次招标）中标公告</div><div>（招标编号：QDHX-QY202608）</div><div>一、中标人信息：</div><div>标段(包)[001]光大理财有限责任公司统一TA系统信创技术改造项目（四次招标）:</div><table border=""1""><tr><td colspan=""1"" rowspan=""1"">中标人：</td><td colspan=""1"" rowspan=""1"">恒生电子股份有限公司</td><td colspan=""1"" rowspan=""1"">其他类型中标价：</td><td colspan=""1"" rowspan=""1"">详见公告</td></tr><tr><td colspan=""1"" rowspan=""1"">二、其他：</td><td colspan=""1"" rowspan=""1""></td><td colspan=""1"" rowspan=""1""></td><td colspan=""1"" rowspan=""1""></td></tr></table><div>青岛鸿翔招标有限公司受光大理财有限责任公司的委托，对光大理财有限责任公司统一</div><div>TA系统信创技术改造项目（四次招标）以公开招标的方式组织招标采购。现就本次招标采</div><div>购的结果公告如下：</div><div>一、招标人名称：光大理财有限责任公司</div><div>二、项目名称：光大理财有限责任公司统一TA系统信创技术改造项目（四次招标）</div><div>三、项目编号：QDHX-QY202608</div><div>四、项目内容：统一TA系统信创技术改造相关功能技术改造和测试验证</div><div>五、招标公告发布日期及媒体：</div><div>2026年6月1日在中国招标投标公共服务平台和中国采购与招标网发布了招标公告。</div><div>六、评标信息</div><div>1.开标时间：2026年6月22日09时00分</div><div>2.开标地点：青岛市崂山区香港东路195号4号楼19层会议室</div><div>3.评标委员会成员：李海燕、齐学功、矫学光、董玉华、王斌</div><div>七、项目信息</div><div>中标供应商：恒生电子股份有限公司</div><div>中标价格（含税）：181.8万元</div><div>免费维保期结束后3年内每年该产品维保费率：15%</div><div>八、联系事项：</div><div>代理机构联系人：陈倩王雪梅庞海涛联系电话：0532-66015830</div><div>青岛鸿翔招标有限公司</div><div>2026年6月30日</div><div>三、监督部门</div><div>本招标项目的监督部门为光大理财有限责任公司。</div><div>四、联系方式</div><div>招标人：光大理财有限责任公司</div><div>地址：/</div><div>联系人：/</div><div>电话：/</div><div>电子邮件：/</div><div>招标代理机构：青岛鸿翔招标有限公司</div><div>地址：青岛市敦化路328号诺德广场2号楼2705室</div><div>联系人：陈倩</div><div>电话：66015830</div><div>电子邮件：hongxiangzhaobiao@126.com</div><div>招标人或其招标代理机构主要负责人（项目负责人）：（签名）</div><div>招标人或其招标代理机构：（盖章）</div></div></div>","[{""bidWinner"": ""恒生电子股份有限公司"", ""bidAmount"": ""1818000.00""}]",[[]],恒生电子股份有限公司,"[{""cgid"": 18695545, ""cname"": ""恒生电子股份有限公司""}, {""cgid"": 2337177492, ""cname"": ""青岛鸿翔招标有限公司""}, {""cgid"": 3373914295, ""cname"": ""光大理财有限责任公司""}]",,山东省,中标,,306214494
