序号,地区,省份,采购单位,项目名称,预算,截止日期,招标方式,业务标签,推荐,来源,链接
1,华北,内蒙古,内蒙古农商,内蒙古农村商业银行股份有限公司信息科技人力资源外包服务框架协议（开放语言类）补充入围项目,-,2026-06-30 09:30,公开招标,人力外包,★☆☆ 可关注,e交易平台,https://www.ejy365.com/purchase/279162
2,华北,北京,北京银行,机构基金线上渠道建设-基金代销系统项目（第二次）,15.9万元,2026-06-29,公开招标,"财富管理,渠道系统",🔥 ★★★ 强烈建议投标,千里马招标网,https://www.qianlima.com/bid-606234075.html
3,华北,北京,中信信托,中信信托权益份额登记系统（TA系统）2026年建设项目,389.84万元,2026-07-03 09:30,公开招标,"资产管理,信创/国产化",🔥 ★★★ 强烈建议投标,中信信托采购平台,https://ebuy.citic.com/cms/default/webfile/1ywgg2/20260612/1250153723972288512.html
4,华北,北京,金谷信托,2026年理财子建设项目,-,2026-07-08 13:30,公开招标,资产管理,🔥 ★★★ 强烈建议投标,千里马招标网,https://www.qianlima.com/bid-606475832.html
5,华北,北京,邮储银行,个人财富管理系统2026年新增功能工程,-,2026-06-25 9:00,单一来源采购,财富管理,☆☆☆ 已截止,千里马招标网,https://www.qianlima.com/bid-606336496.html
6,华北,北京,国家开发银行,2026年债券系统业务运维,107.28万元,2026-07-01 08:30,供应商征集,"金融市场/资金/同业,运维服务,人力外包",⭐ ★★☆ 建议投标,千里马招标网,https://www.qianlima.com/bid-606888001.html
7,华北,北京,中国进出口银行,中国进出口银行新外币资金交易系统建设项目,2215万元,2026-07-06 09:30,公开招标,"金融市场/资金/同业,信创/国产化",⭐ ★★☆ 建议投标,中钢招标官网,http://tendering.sinosteel.com/content/bulletin.html?id=7471064844200841216
8,华北,北京,华鑫信托,信息科技风险评估项目2026期,25万元,2026-06-29 17:00,竞争性谈判,"风控合规,其他",★☆☆ 可关注,千里马招标网,https://www.qianlima.com/bid-606922700.html
9,华北,北京,华鑫信托,服务信托系统建设项目2026期,170万元,2026-06-24,竞争性谈判,资产服务信托,☆☆☆ 已截止,电力能源招标网,https://www.dlnyzb.com/detail/40907845
10,华北,北京,金谷信托,数据安全专项服务及数据分类分级系统建设项目,-,2026-06-24,公开招标,"数据平台,风控合规",☆☆☆ 已截止,国信招标与采购信息平台,https://www.guoxinzbcg.com/
11,华北,北京,中邮理财,中邮理财各类模型验证及资本并表计量第三方确认咨询服务采购项目（包1压力测试检验评估）（第四次）,-,2026-06-24 09:30,公开招标,"资产管理,风控合规",☆☆☆ 已截止,中国邮政官网,http://xizang.chinapost.com.cn/cn/report/2606/0867-1.htm
12,华北,天津,天津银行,资产管理数据集市项目一期,79万元,2026-07-13,公开招标,"资产管理,数据平台,风控合规",🔥 ★★★ 强烈建议投标,千里马招标网,https://www.qianlima.com/bid-606982365.html
13,华北,天津,天津银行,智慧审计工作平台,178.5万元,2026-07-10 09:30,公开招标,"风控合规,其他",★☆☆ 可关注,千里马招标网,https://www.qianlima.com/bid-607001763.html
14,华北,天津,渤海银行,路孚特外汇即期和远期报价数据采购项目,-,2026-06-24 16:30,单一来源采购,"数据服务,金融市场/资金/同业",☆☆☆ 已截止,千里马招标网,https://www.qianlima.com/bid-606034734.html
15,西北,陕西,邮储银行西安分行,西咸新区商品房预售资金监管系统服务项目,15万元,2026-07-07,公开招标,"风控合规,资金业务",⭐ ★★☆ 建议投标,中国邮政官网,https://www.chinapost.com.cn/cn/report/2606/5148-1.htm
16,华东,山东,光大理财,投资交易系统2026年升级项目（二次招标）,605.76万元,2026-07-06,公开招标,资产管理,🔥 ★★★ 强烈建议投标,千里马招标网,https://www.qianlima.com/bid-605867436.html
17,华东,山东,光大理财,光大理财有限责任公司金融基础数据报送系统2026年监管制度升级及信创改造项目（三次采购）,49万元,2026-06-25,单一来源采购,"信创/国产化,风控合规,数据平台,资产管理",☆☆☆ 已截止,千里马招标网,https://www.qianlima.com/bid-606635956.html
18,华东,山东,威海银行,潍坊市区商品房预售资金监管系统（第二次）,-,2026-07-10,公开招标,"风控合规,资金业务",⭐ ★★☆ 建议投标,千里马招标网,https://www.qianlima.com/bid-606408947.html
19,华东,山东,恒丰银行,智能财务顾问系统POC测试供应商征集,-,2026-06-24,供应商征集,"其他,大模型应用",☆☆☆ 已截止,恒丰银行官网,https://hfbank.com.cn/gyhf/cgpt/jzcg/ygg/315721.shtml
20,华东,江苏,苏银理财,估值核算系统2026年度功能扩充项目,-,2026-07-01 09:30,公开招标,资产管理,🔥 ★★★ 强烈建议投标,千里马招标网,https://www.qianlima.com/bid-606225373.html
21,华东,江苏,苏州信托,数据类驻场外包人员技术服务,68万元,2026-06-29,竞争性磋商,"数据平台,人力外包,资产管理",⭐ ★★☆ 建议投标,千里马招标网,https://www.qianlima.com/bid-607056810.html
22,华东,江苏,江南农商,2026年度理财咨询服务,12.00万元,2026-07-08 09:30,公开招标,"财富管理,其他",★☆☆ 可关注,千里马招标网,https://www.qianlima.com/bid-607004694.html
